O3,Theta_K,Temp,RH,q,N,Alt,malr,Ri,u,v
62,300.535,28.78,49.17,11.9930911,340.821197,8,4.71715283,,,
62,300.5584,28.808,49.2541,12.0326831,341.063178,8.9,4.71157416,,,
62.2,300.5858,28.8376,49.3613,12.0795475,341.340681,9,4.70494622,,,
62.5,300.5353,28.7864,49.4861,12.0743087,341.37428,8.1,4.70491853,,,
62.6,300.2694,28.5111,49.4722,11.8795044,340.439472,8,4.73027024,,,
62.8,300.385,28.62,49.24,11.8997842,340.395112,8,4.72889094,,,
63.4,300.3804,28.6108,48.9556,11.8249054,339.893843,8,4.74032504,,,
63.7,300.1426,28.3726,48.8707,11.6408589,339.011585,8,4.76535812,,,
64.6,299.9402,28.1683,49.2183,11.5849079,338.920378,8,4.77095454,-0.798620817,-0.165169671,0.319873381
64.3,299.8765,28.0965,49.0894,11.506961,338.470101,8,4.782267,-0.925608675,-0.220118412,0.296032253
64,300.1425,28.3624,49.2607,11.7288098,339.566853,8,4.75133104,-0.371805666,-0.174617474,0.305404613
63.8,299.9964,28.2136,49.1314,11.5966588,338.888882,8,4.76981367,-0.744058144,-0.169416165,0.306264858
64.6,299.8403,28.0646,48.5783,11.3643696,337.589552,8,4.80484058,-2.41676373,-0.0531643994,0.235780484
65.5,299.8599,28.0867,48.5659,11.3758452,337.6452,8,4.80332601,-2.549712,-0.0437284381,0.225804835
66.5,300.1119,28.3425,49.0661,11.6670442,339.229597,8,4.76073242,-0.251186901,0.14369182,0.441715871
66.9,299.9259,28.1588,48.5322,11.4152575,337.830444,8,4.79808021,-0.44188355,0.183601724,0.474089619
67.6,300.0838,28.3204,48.5431,11.5260904,338.351512,7.1,4.78280713,-0.0641920525,0.221600091,0.935101278
67.8,299.8766,28.1173,48.7634,11.4411269,338.088719,7.9,4.79321788,-0.119796234,0.218259797,0.986135214
67.2,299.9009,28.1427,48.7414,11.4528571,338.134784,12,4.79173077,-0.105832764,0.178375453,1.27296322
67.4,299.1938,27.4105,47.8843,10.7789573,334.576786,16.5,4.89293227,-0.211227797,0.115819654,1.81741328
66.1,299.1753,27.3671,48.5873,10.9135598,335.432803,22.6,4.86896128,-0.257220474,0.107550471,1.94192402
65.1,298.7033,26.8644,48.641,10.609722,333.976092,29.3,4.91379484,-0.360761299,0.0119792404,2.22986782
64.7,297.9164,26.0294,48.4839,10.0694625,331.301736,37.3,4.99909791,-0.685634805,-0.113379501,2.22951897
66.5,297.6381,25.6984,49.0292,9.99057489,331.013963,45.2,5.0086424,-0.981728753,-0.200936221,2.16660228
