O3,Theta_K,Temp,RH,q,N,Alt,malr,Ri,u,v
53.4,301.322,29.07,43.75,10.9078056,331.344112,56,4.89756222,-17.9575802,0.06,1.10218212e-17
53.4,301.3141,29.0601,44.1839,11.0105842,332.023666,57,4.87983931,-2.51503552,0.117371102,-0.0742780889
53.2,301.3131,29.0507,45.0303,11.2179234,333.360559,57,4.84486721,0.0160463299,0.606463575,-0.0230117747
53.2,301.2694,29.0016,44.7994,11.1289315,332.821027,58,4.85892066,-0.101764944,1.0759,1.97639624e-16
53.2,301.3245,29.0595,44.7508,11.1538679,332.91959,58,4.85568085,0,1.09009865,-0.00171422695
53.2,301.2782,29.0102,44.8297,11.1419766,332.898165,57,4.85687413,-0.0787912735,1.08614304,-0.174049701
53.2,301.3106,29.0396,45.2648,11.2705807,333.687136,57,4.83597217,0.00182872969,1.39934323,-0.139707557
53,301.2742,29.0013,45.0472,11.19127,333.213066,55.1,4.84850093,-0.0296060656,1.75218434,-0.151247245
53.3,301.2899,29.0199,44.7412,11.1264467,332.773574,56,4.85963289,-0.0259558904,1.76350476,-0.151495746
53,301.0914,28.8224,44.9376,11.0475363,332.528522,56,4.8697315,-0.149115195,1.75233534,-0.249441057
53.3,301.2713,29.0062,45.087,11.2034166,333.315672,56,4.84655907,-0.0217765977,1.88954674,-0.323267868
53.7,301.3214,29.0487,44.7904,11.1579009,332.927555,57,4.85483232,-0.00571093645,1.75988231,-0.396522692
53.6,301.3329,29.061,45.1324,11.2515089,333.530153,57,4.83946834,0.0131383616,1.58860452,-0.512410318
53.5,301.4907,29.2197,45.5392,11.4589377,334.671909,57,4.80810598,0.171744019,1.41461998,-0.583668052
53.5,301.3712,29.1012,45.4014,11.3453203,334.096197,59,4.82468092,0.0725387659,1.30030992,-0.597457198
53.7,301.3983,29.1293,45.9956,11.5135392,335.161523,60,4.79784982,0.138111115,1.1719135,-0.749147217
53.7,301.5394,29.2752,46.3198,11.693493,336.155289,60,4.77155487,0.255359913,1.33540713,-0.795907635
53.8,301.3318,29.0597,45.6501,11.3806029,334.376562,62,4.81824795,0.0270486265,1.52391229,-0.923117672
54.1,301.303,29.02,45.66,11.3582792,334.241237,64,4.82125244,-0.000635069428,1.74242762,-0.981807507
54.4,301.2734,28.9707,46.1136,11.4417462,334.774748,67.9,4.80687838,-0.013089457,2.1222749,-1.1714137
