O3,Theta_K,Temp,RH,q,N,Alt,malr,Ri,u,v
62.9,303.418,31.12,38.26,10.7350616,327.3105,55,4.96067458,141.012608,0.06,1.10218212e-17
63.1,303.2384,30.9373,38.3618,10.651959,327.002146,55,4.97238313,47.3898212,0.0571545699,0.00407984564
63.2,303.3884,31.0834,38.4028,10.7536705,327.452505,55,4.95682177,Inf,0,0
63.4,303.1866,30.8795,38.4909,10.653388,327.06406,56,4.97119727,Inf,0,0
63.7,303.163,30.85,38.5409,10.6500096,327.058001,56,4.97131971,,0,0
63.8,303.1687,30.8538,38.7572,10.7127194,327.45212,55,4.96030834,3532.46591,0.000242599891,0.00278947043
63.9,303.4177,31.1045,38.8933,10.9060902,328.379702,55,4.93069313,214.933859,0.05,9.18485099e-18
64.1,303.7663,31.4494,39.2075,11.2146968,329.895252,55,4.88400121,479.836321,0.0511,9.38691772e-18
64.3,304.0966,31.7847,39.4712,11.5084773,331.352505,55,4.84125886,240.351426,0.09,1.65327318e-17
63.8,304.3856,32.0822,39.5417,11.7251292,332.378294,56,4.81148936,157.112253,0.128209903,-0.00862965019
63.7,304.0967,31.7878,39.4086,11.4916714,331.253588,56,4.84401977,3.61962211,0.31180078,-0.671103772
64,303.8368,31.5287,39.3813,11.3148005,330.467243,56,4.86870638,2.61134382,0.317548882,-0.675039782
64,303.7987,31.4896,39.4215,11.3012592,330.428647,56,4.87031003,1.59524313,0.5147017,-0.773864665
64.1,303.7828,31.4679,39.4938,11.3088811,330.483549,56,4.86870639,1.62331849,0.558222487,-0.717404108
64.3,303.7494,31.4367,39.4001,11.2614214,330.229196,56.1,4.87604249,1.16165352,0.854864034,-0.602763206
64.2,303.6764,31.368,39.235,11.1693765,329.743616,57,4.89025486,0.633444748,1.08820679,-0.777460444
64.2,303.4051,31.0871,39.343,11.022697,329.135688,56,4.91046766,0.182324425,1.46830192,-0.943483738
63.7,303.2931,30.9754,39.1005,10.8843606,328.389294,56,4.93235995,0.0813034939,1.71147582,-0.916028369
63.9,303.0758,30.7616,38.9764,10.7166962,327.6016,56,4.95812131,-0.0277824528,2.04441932,-0.86837728
65.3,302.6304,30.3121,38.932,10.4312819,326.331268,56.1,5.00186692,-0.17720008,2.30344596,-0.780542832
66.2,302.7039,30.3587,39.1927,10.5331788,326.828366,57.9,4.98421992,-0.097859856,2.92483306,-1.11568622
