O3,Theta_K,Temp,RH,q,N,Alt,malr,Ri,u,v
65.7,305.425,33.11,43.76,13.768759,343.9328897,92,4.537384062,33.04837682,-0.122443456,0.1581379147
65.8,305.5387,33.2276,43.9365,13.9162957,344.7198721,92,4.520439564,101.4694596,-0.0804453506,0.10389661
65.1,305.419,33.1051,43.8535,13.79446306,344.1063799,93,4.534017949,10.84642278,-0.3054565305,-0.1729083804
65.1,305.1307,32.8176,43.5394,13.47331644,342.4800946,90.2,4.57121958,1.33785148,-0.3536719915,-0.2995803272
65.1,305.0463,32.7323,43.5103,13.39941824,342.1258572,89,4.579661232,0,-0.3561626134,-0.3066727781
64.8,305.0639,32.749,43.8327,13.5124445,342.818552,88.1,4.564999195,0.3750439971,-0.4893410218,-0.2197050851
64.8,305.3215,33.0133,44.0938,13.79772005,344.2840079,89,4.532172149,3.759385282,-0.5204737894,-0.005223464605
64.8,305.7768,33.4697,44.2148,14.19756685,346.168509,88,4.489118789,8.339435603,-0.5327345776,0.1313984772
65,305.4961,33.1832,44.3487,14.01317292,345.3870303,88,4.507564568,3.804746109,-0.5463869743,0.3502317437
64.7,305.394,33.0732,44.2626,13.9002409,344.7956695,88,4.520068799,1.9451898,-0.6683784315,0.4315664866
65.1,304.9868,32.6708,44.3997,13.62823641,343.6623226,88,4.548659438,-0.05751905536,-0.5758178612,0.7426101808
65.1,305.0476,32.7287,44.6153,13.74057324,344.2820289,87,4.535057686,0.1474096091,-0.5855685147,0.903901828
65.2,305.0424,32.7234,44.6618,13.75087937,344.3551096,86,4.533652125,0.1054745087,-0.4264970103,1.154649345
65.3,305.6091,33.292,44.9657,14.29804514,347.0242156,85,4.474060971,1.034675665,-0.6029951214,1.249954289
65.3,305.7243,33.4063,45.057,14.42041385,347.6285938,84,4.460997021,1.045309137,-0.7110400871,1.31656207
64.9,306.026,33.71,45,14.6506807,348.6515416,83,4.438218277,1.189569681,-0.7098234147,1.489513585
64.1,305.8084,33.4943,44.7647,14.39680461,347.3668043,81,4.465205373,0.6415281804,-0.7115502762,1.830249681
64.5,305.3612,33.0463,44.7694,14.0382453,345.7373017,83,4.50230367,0.1992014038,-0.7137780419,2.304804709
66.2,304.8818,32.5855,44.6909,13.64896712,343.9930426,86,4.544639163,-0.03582748063,-0.8023658342,2.646858271
65.6,304.9138,32.5897,44.9225,13.72794845,344.3811837,89.9,4.534512078,-0.03455558692,-0.4998591243,2.537230154
65.1,304.6218,32.2673,45.0629,13.52572096,343.4312455,92.8,4.555724444,-0.2141712841,-0.6015552633,2.401400971
64.2,304.6236,32.2305,45.6454,13.67949393,344.3110629,96.9,4.535147719,-0.1604341558,-0.9354751005,2.795532283
64.1,304.6269,32.2013,46.148,13.81365414,345.0783464,101.8,4.517484326,-0.1384370494,-1.029393277,3.099743848
65.5,304.4913,32.0131,46.288,13.71647433,344.5168708,105.9,4.526987366,-0.1820758418,-1.104405735,3.327720904
65.7,304.0115,31.4794,45.7884,13.1678555,341.5536463,110.8,4.59107098,-0.3035913733,-1.283665002,3.678347587
65.8,303.9152,31.3303,45.9995,13.12459641,341.2783589,116,4.594602947,-0.3314645151,-1.272578185,3.834021499
66.2,303.9013,31.2615,46.4501,13.210506,341.7079297,118.9,4.581871702,-0.3485856031,-1.254350618,3.860952821
65.8,303.7572,31.0682,46.8915,13.19738162,341.7047554,123.8,4.580602492,-0.3655892818,-1.087692833,4.159849083
66.2,303.6643,30.9319,46.8114,13.07848066,340.9635362,127,4.594618365,-0.3935334766,-0.9166707089,4.292001893
66.9,303.6698,30.8913,46.926,13.08728661,340.8935476,132.8,4.592774713,-0.3589978765,-1.335781819,4.555912886
66.6,303.6907,30.8604,47.2263,13.15625388,341.1751319,137.9,4.582898858,-0.3061314479,-1.655997705,4.996419647
65.5,303.7055,30.8213,47.5884,13.23640528,341.532644,141.9,4.571453032,-0.3079102779,-1.775722607,5.054344771
65.2,303.7428,30.8001,48.0979,13.37062538,342.2277219,146,4.553176368,-0.3066129824,-1.701244834,5.166827083
65.5,303.9744,30.9855,48.6664,13.68225596,343.7770491,146,4.515322883,-0.2970276142,-1.133543721,5.040717627
67,303.7695,30.7316,49.0532,13.59963657,343.417184,150.8,4.522030359,-0.3539161745,-1.072082344,5.066923747
66.6,303.7945,30.7297,49.1574,13.63166622,343.5149461,155.9,4.517848592,-0.3415320393,-1.030403942,5.25482842
66,303.8306,30.7399,49.2489,13.66940269,343.6387283,160.9,4.513133247,-0.3266701249,-0.983551546,5.449757352
66.1,303.8697,30.6722,50.0927,13.86852699,344.5874919,167.8,4.486643627,-0.3456830096,-0.9829526634,5.452100885
67,303.9408,30.6798,50.3364,13.95308886,344.8610199,173.9,4.476110458,-0.328969666,-1.154276422,5.629481104
65,303.9883,30.68,50.7838,14.08601091,345.5217331,178.8,4.459543516,-0.3569966613,-1.048612635,5.45726781
63.2,303.9651,30.6002,50.8798,14.0573527,345.2285672,184,4.461853643,-0.4018115471,-1.237702463,5.287264383
63.8,303.7488,30.3358,50.8115,13.83364168,343.9862107,188.9,4.485801099,-0.5721356426,-1.162515629,4.812171835
64.7,303.8041,30.3491,50.6765,13.81388475,343.675584,194.7,4.488517663,-0.5508519395,-0.8185432314,5.04563589
64,303.7952,30.2909,50.6306,13.76289694,343.2366648,199.9,4.49410207,-0.580300463,-0.800944461,5.056964304
65.5,303.8211,30.2707,50.7943,13.7990705,343.3134127,204.8,4.489174362,-0.5354970085,-0.9983043662,5.31709398
67,303.7183,30.1379,51.0104,13.75718099,343.114571,210.9,4.492435381,-0.5892521524,-1.181898201,5.254415394
68.5,303.6109,30.0011,51.2283,13.71224021,342.9051593,217,4.496044177,-0.6496711376,-1.360706746,5.174377957
67.6,303.6119,29.9027,51.3467,13.68191489,342.4585244,221.9,4.498396403,-0.6404820765,-1.690165666,5.29079178
67.8,303.7016,29.9381,51.7502,13.8273398,343.1217027,226.8,4.480374757,-0.6518214456,-1.508762,5.291922625
69.1,303.6695,29.8612,51.977,13.83387779,343.096739,231.9,4.478341404,-0.7322407313,-1.249129384,5.173948834
