O3,Theta_K,Temp,RH,q,N,Alt,malr,Ri,u,v
78,304.98,32.6,53.6,16.2612023,361.287295,52,4.24450952,0.870007281,-1.4,0.54
78.1,304.32,31.9,51.7,15.0791384,354.556971,55,4.36085677,0.30020786,0.6,1.04
78.2,304.25,31.8,50.9,14.7686184,352.565761,58,4.39495322,0.0550589216,1.14,1.26
78.5,304.28,31.8,51,14.8074441,352.652651,62,4.39044214,0.0462010764,1.4,1.43
78.7,304.23,31.7,51.4,14.8462668,352.854058,67,4.38440587,0,1.54,1.57
78.8,304.29,31.7,51.4,14.8559719,352.701327,73,4.38328495,0.000818261147,1.61,1.64
78.8,304.24,31.6,51.3,14.7492044,351.963174,78,4.39412775,-0.0516037796,1.69,1.7
78.7,304.09,31.4,51.3,14.5938649,351.021155,84,4.40927166,-0.139098342,1.86,1.82
78.7,304.04,31.3,51.2,14.4870405,350.29271,89,4.4204137,-0.170995498,2.03,1.93
78.8,303.89,31.1,51.1,14.3024711,349.182417,94,4.43953278,-0.236273092,2.21,2.03
78.9,303.84,31,51.2,14.2538888,348.852478,99,4.44389094,-0.269232379,2.32,2.05
79.2,303.88,31,51.7,14.4093355,349.631127,103,4.42506938,-0.238233811,2.51,2.14
79.4,303.82,30.9,52.4,14.5258884,350.404229,106,4.40958638,-0.253954712,2.62,2.16
79.7,303.84,30.9,52.8,14.6424137,351.04899,110,4.39580955,-0.229045758,2.82,2.24
80.3,303.87,30.9,52.9,14.6715408,351.152756,113,4.39238912,-0.221281354,2.94,2.24
80.9,303.9,30.9,52.8,14.6521229,350.870335,116,4.39466836,-0.216307984,3.07,2.24
81.1,303.84,30.8,52.6,14.5161767,350.01418,119,4.40919099,-0.242317904,3.19,2.24
81.2,303.77,30.7,52.6,14.4384763,349.5207,123,4.41691596,-0.280304299,3.23,2.18
81.4,303.81,30.7,52.8,14.4967528,349.775585,127,4.40995278,-0.272315075,3.36,2.17
81.5,303.74,30.6,52.9,14.4481895,349.459897,130,4.4142005,-0.307288285,3.4,2.1
81.6,303.78,30.6,52.9,14.4579026,349.357708,134,4.41303854,-0.301009873,3.53,2.08
81.9,303.81,30.6,52.9,14.4579026,349.255519,138,4.41303854,-0.309995242,3.57,2.01
82.1,303.75,30.5,53,14.4093355,348.914421,142,4.41730592,-0.348652027,3.61,1.94
82.1,303.8,30.5,53.1,14.4481895,348.963367,146,4.41264798,-0.356421307,3.65,1.87
82.2,303.83,30.5,53.2,14.4773281,349.037868,150,4.4091659,-0.383063322,3.59,1.76
82.3,303.77,30.4,53.3,14.4287629,348.720675,153,4.41342162,-0.424312412,3.62,1.7
82.4,303.8,30.4,53.5,14.4870405,348.970082,158,4.40645531,-0.457257625,3.56,1.59
82.6,303.85,30.4,53.6,14.5258884,349.018092,162,4.40183264,-0.466318324,3.59,1.52
82.8,303.79,30.3,53.7,14.4773281,348.672816,166,4.40606115,-0.543690942,3.52,1.43
83,303.82,30.3,53.7,14.4870405,348.570526,170,4.40490298,-0.58656256,3.45,1.34
83.2,303.86,30.3,53.8,14.5161767,348.643178,174,4.40143493,-0.631803494,3.38,1.25
83.4,303.8,30.2,53.9,14.4676154,348.297179,178,4.40566741,-0.734824723,3.3,1.17
83.5,303.85,30.2,54,14.4967528,348.343332,183,4.40219347,-0.752821518,3.31,1.13
83.5,303.8,30.1,54.2,14.4773281,348.144234,188,4.40295528,-0.873794,3.23,1.05
83.6,303.85,30.1,54.4,14.5453112,348.337051,193,4.39487328,-0.944905004,3.15,0.99
83.6,303.8,30,54.7,14.5453112,348.306922,199,4.39332124,-1.09864937,3.06,0.92
83.7,303.76,29.9,54.9,14.5258884,348.102117,204,4.39407196,-1.27088774,2.98,0.86
83.5,303.8,29.9,55.1,14.5841545,348.316937,209,4.38717565,-1.382073,2.89,0.82
83.5,303.84,29.9,55.2,14.6229948,348.360332,213,4.38259935,-1.5013669,2.8,0.77
83.5,303.89,29.9,55.3,14.6521229,348.403726,218,4.37917822,-1.64341093,2.7,0.72
83.5,303.92,29.9,55.3,14.6618319,348.301301,221,4.37803995,-1.78993445,2.61,0.69
83.6,303.96,29.9,55.1,14.613285,347.856023,225,4.38374184,-1.97501632,2.51,0.66
83.8,303.99,29.9,54.9,14.5647332,347.410746,229,4.38947016,-2.18495301,2.42,0.63
84,303.94,29.8,55,14.5161767,347.059288,233,4.39367192,-2.5543046,2.32,0.62
84.2,303.98,29.8,55.1,14.5453112,347.10177,237,4.39021633,-2.5908816,2.32,0.63
