Header,Index_number,Seconds_UTC,Pressure_hPa,Altitude_km,Temp_degC,RawTemp_degC,Theta_K,RH_percent,Frostpoint_degC,InternalTemp_degC,Ozonecurrent_uA,Ozone_mPa,Ozone_ppmv,PumpTemp_degC,OzoneBattery_V,PumpCurrent_mA,Latitude_deg,Longitude_deg,GPSAltitude_km,WindSpeed_mps,WindDirection_deg
"53, 1001",1,54165,1017.9,0.004,28.9,29.02,300.523,81.79,25.472,47.83,1.259,4.7237,0.0464,45.73,17.2,73,39.24215,-76.3628,0.004,0.45,127.77
"Sullivan, John T.",2,54166,1017.94,0.0036,29.4167,29.5367,301.0336,82.0512,26.0287,47.8296,1.259,4.72378,0.0464,45.73,17.2,72.9798,39.24216,-76.3628,0.004,0.45,127.77
NASA/GSFC,3,54167,1017.96,0.0035,29.7426,29.8626,301.3554,82.1316,26.363,47.8109,1.26,4.7278,0.0464,45.73,17.2,72,39.24216,-76.3628,0.004,0.4488,128.0077
"Ozonesondes - Electrochemical Concentration Cell (En-Sci), iMet-1-RSB Radiosondes",4,54168,1018.05,0.0027,29.83,29.95,301.435,82.85,26.596,47.84,1.26,4.7278,0.0464,45.73,17.2,72,39.24215,-76.3628,0.004,0.41,135.93
OWLETS-2,5,54169,1017.97,0.0034,30.3454,30.4654,301.9543,83.3824,27.2087,47.8406,1.2569,4.71526,0.0463,45.73,17.2,72,39.24215,-76.3628,0.004,0.5944,158.6139
"1,1",6,54170,1018,0.0031,30.6139,30.7339,302.2191,83.0028,27.392,47.8683,1.2513,4.69303,0.0461,45.73,17.2,72,39.24215,-76.3628,0.0031,0.8167,147.8083
"2018, 07, 02, 2019, 02, 28",7,54171,1017.86,0.0044,30.75,30.87,302.367,82.85,27.494,47.88,1.251,4.6917,0.0461,45.73,17.2,72,39.24215,-76.3628,0.003,0.94,149.85
1,8,54172,1018.08,0.0024,30.7335,30.8535,302.3317,82.043,27.3102,47.8792,1.256,4.7117,0.0463,45.73,17.2,72,39.24215,-76.3628,0.003,1.1563,145.4222
"Index_number, number",9,54173,1018.02,0.0029,30.4121,30.5321,302.0174,81.2075,26.8227,47.8406,1.256,4.71182,0.0463,45.73,17.2,72,39.24215,-76.3628,0.003,1.4778,143.2152
20,10,54174,1017.91,0.0039,30.15,30.27,301.765,80.79,26.481,47.86,1.257,4.7157,0.0463,45.73,17.2,72,39.24216,-76.3628,0.003,2.07,130.72
"1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1",11,54175,1017.89,0.0041,30.1685,30.2885,301.7854,80.8178,26.5041,47.86,1.2542,4.70459,0.0462,45.73,17.2,72,39.24215,-76.3628,0.003,2.0422,127.9885
"-99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999",12,54176,1017.81,0.0048,30.3953,30.5153,302.0179,80.7824,26.7172,47.8694,1.254,4.7037,0.0462,45.73,17.2,72,39.24215,-76.3628,0.003,2.04,127.77
"Seconds_UTC, s",13,54177,1017.78,0.0051,30.5378,30.6578,302.1617,80.999,26.9017,47.87,1.2631,4.7403,0.0466,45.73,17.2,72,39.24216,-76.3628,0.003,1.3555,138.0188
"Pressure_hPa, hPa",14,54178,1017.91,0.0039,30.5779,30.6979,302.1907,80.4814,26.8316,47.8514,1.2259,4.59123,0.0451,45.73,17.2,72,39.24218,-76.3628,0.0002,1.29,137.7093
"Altitude_km, km",15,54179,1017.91,0.0039,30.6342,30.7542,302.2471,79.7357,26.7284,47.9493,1.2609,4.73146,0.0464,45.73,17.2,74.70873,39.2422,-76.3629,NaN,1.2719,143.0094
"Temp_degC, degC",16,54180,1018.98,-0.0057,30.8512,30.9712,302.3724,102.013,31.1638,47.7029,1.3927,5.25924,0.0517,45.73,17.2,75,39.2422,-76.3629,NaN,1.5639,145.3073
"RawTemp_degC, degC",17,54181,1018.75,-0.0035,30.8886,31.0086,302.4295,NaN,37.7258,47.9681,1.4319,5.4164,0.0532,45.73,17.2,75,39.2422,-76.3629,NaN,1.6736,155.3756
"Theta_K, K",18,54182,1018.21,0.0013,31.4769,31.5969,303.0596,NaN,38.8144,47.9358,1.4837,5.6239,0.0552,45.73,17.2,75,39.24221,-76.3629,NaN,1.9328,156.13
"RH_percent, percent",19,54183,1018.15,0.0019,30.9798,31.0998,302.5705,NaN,38.2896,47.9208,1.3889,5.24416,0.0515,45.73,17.2,75,39.24224,-76.3629,0.0066,2.1437,162.6596
"Frostpoint_degC, degC",20,54184,1017.88,0.0042,28.7333,28.8533,300.3581,NaN,35.9192,47.9482,1.4241,5.38537,0.0529,45.73,17.2,75,39.24227,-76.363,0.0108,2.4229,169.2764
"InternalTemp_degC, degC",21,54185,1017.54,0.0073,28.59,28.71,300.2444,NaN,35.768,47.95,1.4389,5.44436,0.0535,45.73,17.2,74.08738,39.24232,-76.363,0.0183,2.6408,173.3387
"Ozonecurrent_uA, uA",22,54186,1016.93,0.0126,28.33,28.45,300.0362,NaN,35.4931,47.8943,1.4335,5.4229,0.0533,45.73,17.2,74,39.24237,-76.3631,0.0264,2.6507,177.7571
