Header,Index_number,Seconds_UTC,Pressure_hPa,Altitude_km,Temp_degC,RawTemp_degC,Theta_K,RH_percent,Frostpoint_degC,InternalTemp_degC,Ozonecurrent_uA,Ozone_mPa,Ozone_ppmv,PumpTemp_degC,OzoneBattery_V,PumpCurrent_mA,Latitude_deg,Longitude_deg,GPSAltitude_km,WindSpeed_mps,WindDirection_deg
"53, 1001",1,62852,1010.47,0.05,29.07,29.21,301.322,43.75,15.496,41.28,1.421,5.3943,0.0534,36.23,16.7,64,39.05637,-76.8759,0.056,0.06,270
"Stauffer, Ryan M.",2,62853,1010.45,0.0502,29.0601,29.2001,301.3141,44.1839,15.641,41.2504,1.422,5.39815,0.0534,36.23,16.7,64,39.05637,-76.8759,0.057,0.1389,302.3276
"USRA, NASA/GSFC",3,62854,1010.35,0.051,29.0507,29.1907,301.3131,45.0303,15.9287,41.2873,1.4164,5.37672,0.0532,36.23,16.7,64,39.05637,-76.8759,0.057,0.6069,272.173
"Ozonesondes - Electrochemical Concentration Cell (En-Sci), iMet-1-RSB Radiosondes",4,62855,1010.28,0.0517,29.0016,29.1416,301.2694,44.7994,15.8047,41.2512,1.416,5.37607,0.0532,36.28,16.7,64,39.05637,-76.8759,0.058,1.0759,270
OWLETS-2,5,62856,1010.32,0.0513,29.0595,29.1995,301.3245,44.7508,15.8398,41.2502,1.415,5.3735,0.0532,36.35,16.7,64,39.05637,-76.8759,0.058,1.0901,270.0901
"1,1",6,62857,1010.29,0.0516,29.0102,29.1502,301.2782,44.8297,15.8221,41.2699,1.415,5.3736,0.0532,36.36,16.7,64,39.05637,-76.8759,0.057,1.1,279.104
"2018, 06, 29, 2019, 02, 28",7,62858,1010.25,0.0519,29.0396,29.1796,301.3106,45.2648,16.0008,41.3095,1.415,5.3736,0.0532,36.36,16.7,64,39.05638,-76.8759,0.057,1.4063,275.7014
1,8,62859,1010.23,0.0521,29.0013,29.1413,301.2742,45.0472,15.8897,41.31,1.4111,5.35888,0.053,36.36,16.7,64,39.05637,-76.8759,0.0551,1.7587,274.9335
"Index_number, number",9,62860,1010.26,0.0519,29.0199,29.1599,301.2899,44.7412,15.8004,41.3399,1.418,5.38499,0.0533,36.36,16.7,64,39.05637,-76.8759,0.056,1.77,274.91
20,10,62861,1010.28,0.0517,28.8224,28.9624,301.0914,44.9376,15.6903,41.3301,1.4101,5.35486,0.053,36.36,16.7,64,39.05638,-76.8759,0.056,1.77,278.1015
"1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1",11,62862,1010.32,0.0513,29.0062,29.1462,301.2713,45.087,15.9086,41.3104,1.4188,5.38822,0.0533,36.36,16.7,64,39.05638,-76.8759,0.056,1.917,279.7083
"-99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999",12,62863,1010.22,0.0522,29.0487,29.1887,301.3214,44.7904,15.8434,41.339,1.4277,5.42224,0.0537,36.36,16.7,64,39.05638,-76.8759,0.057,1.804,282.6974
"Seconds_UTC, s",13,62864,1010.24,0.052,29.061,29.201,301.3329,45.1324,15.9737,41.3201,1.426,5.41565,0.0536,36.36,16.7,64,39.05638,-76.8759,0.057,1.6692,287.8773
"Pressure_hPa, hPa",14,62865,1010.24,0.052,29.2197,29.3597,301.4907,45.5392,16.2584,41.33,1.424,5.40812,0.0535,36.36,16.7,64,39.05638,-76.8759,0.057,1.5303,292.4209
"Altitude_km, km",15,62866,1010.26,0.0519,29.1012,29.2412,301.3712,45.4014,16.1036,41.3399,1.424,5.4081,0.0535,36.36,16.7,64,39.05637,-76.8759,0.059,1.431,294.6775
"Temp_degC, degC",16,62867,1010.27,0.0518,29.1293,29.2693,301.3983,45.9956,16.3324,41.3302,1.4279,5.42304,0.0537,36.36,16.7,64,39.05636,-76.8759,0.06,1.3909,302.5888
"RawTemp_degC, degC",17,62868,1010.32,0.0513,29.2752,29.4152,301.5394,46.3198,16.5752,41.3494,1.429,5.42708,0.0537,36.36,16.7,64,39.05636,-76.8758,0.06,1.5546,300.7951
"Theta_K, K",18,62869,1010.24,0.052,29.0597,29.1997,301.3318,45.6501,16.1507,41.3894,1.432,5.43888,0.0538,36.36,16.7,63.99207,39.05637,-76.8757,0.062,1.7817,301.2056
"RH_percent, percent",19,62870,1010.11,0.0532,29.02,29.16,301.303,45.66,16.118,41.31,1.438,5.4616,0.0541,36.36,16.7,63,39.05637,-76.8756,0.064,2,299.4
"Frostpoint_degC, degC",20,62871,1009.87,0.0553,28.9707,29.1107,301.2734,46.1136,16.2294,41.379,1.4459,5.49178,0.0544,36.36,16.7,63,39.05636,-76.8756,0.0679,2.4241,298.897
"InternalTemp_degC, degC",21,62872,1009.74,0.0564,28.7086,28.8486,301.0237,45.317,15.7184,41.4173,1.4395,5.46718,0.0541,36.36,16.7,63,39.05636,-76.8755,0.0717,2.9996,298.1617
"Ozonecurrent_uA, uA",22,62873,1009.46,0.0589,28.6803,28.8203,301.0196,45.1825,15.6462,41.3619,1.439,5.4654,0.0541,36.36,16.7,63,39.05636,-76.8755,0.0778,3.195,297.6353
