Header,Index_number,Seconds_UTC,Pressure_hPa,Altitude_km,Temp_degC,RawTemp_degC,Theta_K,RH_percent,Frostpoint_degC,InternalTemp_degC,Ozonecurrent_uA,Ozone_mPa,Ozone_ppmv,PumpTemp_degC,OzoneBattery_V,PumpCurrent_mA,Latitude_deg,Longitude_deg,GPSAltitude_km,WindSpeed_mps,WindDirection_deg
"53, 1001",1,72754,1007.77,0.06,33.33,33.43,305.803,55.17,23.11,52.9,1.769,7.0607,0.0701,44.94,16.9,64,39.25432,-76.7093,0.056,NaN,NaN
"Sullivan, John T.",2,72755,1007.71,0.0605,32.8172,32.9172,305.2961,54.7459,22.5084,52.9888,1.7641,7.04009,0.0699,44.92,16.9,64,39.25432,-76.7093,0.055,NaN,NaN
NASA/GSFC,3,72756,1007.6,0.0615,32.7614,32.8614,305.2501,54.8567,22.4903,52.9122,1.7757,7.08774,0.0704,44.93,16.9,64,39.25432,-76.7093,0.055,NaN,NaN
"Ozonesondes - Electrochemical Concentration Cell (En-Sci), iMet-1-RSB Radiosondes",4,72757,1007.54,0.0621,32.7057,32.8057,305.1997,54.6373,22.3723,52.9202,1.7881,7.13908,0.0709,44.95,16.9,64,39.25432,-76.7093,0.055,NaN,NaN
OWLETS-2,5,72758,1007.56,0.0619,32.4711,32.5711,304.964,54.4913,22.1114,52.9299,1.793,7.16006,0.0711,44.98,16.9,64.00395,39.25432,-76.7093,0.055,0.07,37.75
"1,1",6,72759,1007.62,0.0613,32.7373,32.8373,305.2244,54.8266,22.4585,52.9102,1.8029,7.2005,0.0715,44.98,16.9,64.99014,39.25432,-76.7093,0.055,0.07,37.75
"2018, 06, 18, 2019, 02, 28",7,72760,1007.57,0.0618,32.7986,32.8986,305.2905,54.8593,22.5255,52.9783,1.8001,7.18909,0.0713,44.99,16.9,65,39.25432,-76.7093,0.055,0.1286,111.5023
1,8,72761,1007.63,0.0613,32.7189,32.8189,305.2061,54.695,22.4025,52.9203,1.8022,7.19822,0.0714,45,16.9,65,39.25433,-76.7093,0.054,0.2133,170.8219
"Index_number, number",9,72762,1007.55,0.062,32.6768,32.7768,305.1709,54.517,22.3101,52.9311,1.8112,7.23495,0.0718,45,16.9,65,39.25433,-76.7093,0.054,0.3318,233.9603
20,10,72763,1007.46,0.0628,32.45,32.55,304.952,54.3,22.035,53.01,1.826,7.2955,0.0724,45,16.9,65,39.25433,-76.7093,0.054,0.46,261.83
"1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1",11,72764,1007.5,0.0624,32.4401,32.5401,304.9382,54.3394,22.037,52.941,1.8299,7.31167,0.0726,45,16.9,65,39.25433,-76.7093,0.054,0.46,261.83
"-99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999, -99999",12,72765,1007.49,0.0625,32.6925,32.7925,305.1913,54.3081,22.2617,52.9403,1.8342,7.32895,0.0727,45,16.9,65,39.25433,-76.7093,0.055,0.5368,257.1427
"Seconds_UTC, s",13,72766,1007.55,0.062,32.7711,32.8711,305.2641,54.2491,22.3157,52.95,1.8391,7.34916,0.0729,45,16.9,65,39.25433,-76.7093,0.055,0.4443,235.4205
"Pressure_hPa, hPa",14,72767,1007.53,0.0622,32.8298,32.9298,305.3248,54.2002,22.3549,52.95,1.844,7.36941,0.0731,45,16.9,65,39.25433,-76.7093,0.055,0.6818,234.3629
