Header,Index_number,Seconds_UTC,Pressure_hPa,Altitude_km,Temp_degC,RawTemp_degC,Theta_K,RH_percent,Frostpoint_degC,InternalTemp_degC,Ozonecurrent_uA,Ozone_mPa,Ozone_ppmv,PumpTemp_degC,OzoneBattery_V,PumpCurrent_mA,Latitude_deg,Longitude_deg,GPSAltitude_km,WindSpeed_mps,WindDirection_deg
"53, 1001",1,72171,1009.55,0.056,33.11,33.21,305.425,43.76,19.133,45.26,1.7,6.6354,0.0657,41.38,16.8,68,39.25445,-76.7089,0.092,0.2,142.25
"Stauffer, Ryan M.",2,72172,1009.6,0.0556,33.2276,33.3276,305.5387,43.9365,19.3036,45.2698,1.701,6.63942,0.0658,41.38,16.8,68,39.25446,-76.7089,0.092,0.1314,142.25
"USRA, NASA/GSFC",3,72173,1009.56,0.0559,33.1051,33.2051,305.419,43.8535,19.1629,45.2604,1.6847,6.57263,0.0651,41.38,16.8,68,39.25447,-76.7089,0.093,0.351,60.4873
"Ozonesondes - Electrochemical Concentration Cell (En-Sci), iMet-1-RSB Radiosondes",4,72174,1009.59,0.0556,32.8176,32.9176,305.1307,43.5394,18.789,45.2694,1.6849,6.57376,0.0651,41.38,16.8,68,39.25448,-76.7089,0.0902,0.4635,49.7335
OWLETS-2,5,72175,1009.58,0.0557,32.7323,32.8323,305.0463,43.5103,18.7022,45.299,1.685,6.574,0.0651,41.38,16.8,68,39.25448,-76.7089,0.089,0.47,49.27
"1,1",6,72176,1009.57,0.0558,32.749,32.849,305.0639,43.8327,18.8348,45.338,1.6774,6.54287,0.0648,41.38,16.8,68,39.25448,-76.7089,0.0881,0.5364,65.8208
"2018, 07, 01, 2019, 02, 28",7,72177,1009.64,0.0552,33.0133,33.1133,305.3215,44.0938,19.1678,45.2717,1.677,6.5412,0.0648,41.38,16.8,68,39.25449,-76.7089,0.089,0.5205,89.425
1,8,72178,1009.63,0.0553,33.4697,33.5697,305.7768,44.2148,19.6229,45.27,1.678,6.54512,0.0648,41.38,16.8,68,39.25449,-76.7089,0.088,0.5487,103.8554
"Index_number, number",9,72179,1009.57,0.0558,33.1832,33.2832,305.4961,44.3487,19.4134,45.3591,1.6829,6.56579,0.065,41.39,16.8,68,39.25449,-76.7089,0.088,0.649,122.6597
20,10,72180,1009.48,0.0566,33.0732,33.1732,305.394,44.2626,19.2829,45.3503,1.6752,6.53484,0.0647,41.42,16.8,68,39.25449,-76.7089,0.088,0.7956,122.85
"1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1",11,72181,1009.56,0.0559,32.6708,32.7708,304.9868,44.3997,18.9706,45.33,1.683,6.56723,0.0651,41.45,16.8,68,39.25448,-76.7089,0.088,0.9397,142.2101
